timestamp,rtype,publisher_id,instrument_id,open,high,low,price,volume,symbol
2023-11-10 12:00:00+00:00,33,95,38,182.1,182.1,182.1,182.1,1,AAPL
2023-11-10 12:02:00+00:00,33,95,38,182.1,182.1,182.1,182.1,2,AAPL
2023-11-10 12:03:00+00:00,33,95,38,182.1,182.1,182.1,182.1,53,AAPL
2023-11-10 12:05:00+00:00,33,95,38,182.16,182.16,182.16,182.16,9,AAPL
2023-11-10 12:07:00+00:00,33,95,38,182.16,182.16,182.16,182.16,191,AAPL
2023-11-10 12:17:00+00:00,33,95,38,182.2,182.22,182.2,182.22,101,AAPL
2023-11-10 12:19:00+00:00,33,95,38,182.35,182.35,182.35,182.35,1,AAPL
2023-11-10 12:21:00+00:00,33,95,38,182.3,182.3,182.28,182.28,310,AAPL
2023-11-10 12:23:00+00:00,33,95,38,182.27,182.27,182.27,182.27,15,AAPL
2023-11-10 12:25:00+00:00,33,95,38,182.34,182.34,182.34,182.34,1,AAPL
2023-11-10 12:27:00+00:00,33,95,38,182.31,182.31,182.31,182.31,5,AAPL
2023-11-10 12:34:00+00:00,33,95,38,182.55,182.55,182.55,182.55,1,AAPL
2023-11-10 12:36:00+00:00,33,95,38,182.6,182.6,182.6,182.6,27,AAPL
2023-11-10 12:44:00+00:00,33,95,38,182.84,182.84,182.84,182.84,5,AAPL
2023-11-10 12:45:00+00:00,33,95,38,182.85,182.85,182.85,182.85,10,AAPL
2023-11-10 12:46:00+00:00,33,95,38,182.84,182.84,182.84,182.84,25,AAPL
2023-11-10 12:58:00+00:00,33,95,38,182.9,182.9,182.9,182.9,5,AAPL
2023-11-10 13:00:00+00:00,33,95,38,182.85,182.85,182.85,182.85,2,AAPL
2023-11-10 13:02:00+00:00,33,95,38,182.82,182.82,182.82,182.82,10,AAPL
2023-11-10 13:03:00+00:00,33,95,38,182.81,182.81,182.79,182.79,200,AAPL
2023-11-10 13:04:00+00:00,33,95,38,182.88,182.88,182.88,182.88,10,AAPL
2023-11-10 13:05:00+00:00,33,95,38,182.89,182.89,182.89,182.89,278,AAPL
2023-11-10 13:07:00+00:00,33,95,38,182.95,182.95,182.95,182.95,191,AAPL
2023-11-10 13:09:00+00:00,33,95,38,182.96,182.96,182.96,182.96,10,AAPL
2023-11-10 13:12:00+00:00,33,95,38,182.92,182.97,182.92,182.92,21,AAPL
2023-11-10 13:15:00+00:00,33,95,38,182.98,182.98,182.98,182.98,50,AAPL
2023-11-10 13:18:00+00:00,33,95,38,183.05,183.05,183.05,183.05,10,AAPL
2023-11-10 13:32:00+00:00,33,95,38,183.0,183.0,183.0,183.0,130,AAPL
2023-11-10 13:35:00+00:00,33,95,38,183.0,183.0,183.0,183.0,1,AAPL
2023-11-10 13:36:00+00:00,33,95,38,182.95,182.95,182.94,182.94,220,AAPL
2023-11-10 13:38:00+00:00,33,95,38,183.19,183.19,183.18,183.18,3,AAPL
2023-11-10 13:40:00+00:00,33,95,38,183.22,183.22,183.22,183.22,10,AAPL
2023-11-10 13:42:00+00:00,33,95,38,183.19,183.19,183.17,183.17,132,AAPL
2023-11-10 13:43:00+00:00,33,95,38,183.11,183.14,183.11,183.14,115,AAPL
2023-11-10 13:44:00+00:00,33,95,38,183.23,183.3,183.23,183.3,140,AAPL
2023-11-10 13:46:00+00:00,33,95,38,183.21,183.27,183.21,183.27,60,AAPL
2023-11-10 13:48:00+00:00,33,95,38,183.28,183.28,183.28,183.28,2,AAPL
2023-11-10 13:49:00+00:00,33,95,38,183.25,183.25,183.23,183.23,5,AAPL
2023-11-10 13:51:00+00:00,33,95,38,183.4,183.4,183.36,183.39,425,AAPL
2023-11-10 13:52:00+00:00,33,95,38,183.43,183.43,183.39,183.43,141,AAPL
2023-11-10 13:53:00+00:00,33,95,38,183.45,183.45,183.41,183.41,221,AAPL
2023-11-10 13:54:00+00:00,33,95,38,183.4,183.43,183.4,183.43,11,AAPL
2023-11-10 13:56:00+00:00,33,95,38,183.41,183.41,183.41,183.41,150,AAPL
2023-11-10 13:57:00+00:00,33,95,38,183.47,183.47,183.42,183.42,112,AAPL
2023-11-10 13:58:00+00:00,33,95,38,183.38,183.38,183.26,183.26,51,AAPL
2023-11-10 13:59:00+00:00,33,95,38,183.3,183.3,183.3,183.3,10,AAPL
2023-11-10 14:00:00+00:00,33,95,38,183.3,183.3,183.3,183.3,50,AAPL
2023-11-10 14:01:00+00:00,33,95,38,183.31,183.31,183.31,183.31,4,AAPL
2023-11-10 14:02:00+00:00,33,95,38,183.32,183.32,183.32,183.32,1,AAPL
2023-11-10 14:03:00+00:00,33,95,38,183.31,183.31,183.31,183.31,20,AAPL
2023-11-10 14:05:00+00:00,33,95,38,183.25,183.25,183.25,183.25,50,AAPL
2023-11-10 14:07:00+00:00,33,95,38,183.28,183.28,183.28,183.28,6,AAPL
2023-11-10 14:08:00+00:00,33,95,38,183.29,183.29,183.29,183.29,20,AAPL
2023-11-10 14:09:00+00:00,33,95,38,183.29,183.29,183.29,183.29,50,AAPL
2023-11-10 14:13:00+00:00,33,95,38,183.38,183.38,183.38,183.38,4,AAPL
2023-11-10 14:14:00+00:00,33,95,38,183.43,183.43,183.43,183.43,5,AAPL
2023-11-10 14:15:00+00:00,33,95,38,183.43,183.43,183.43,183.43,25,AAPL
2023-11-10 14:17:00+00:00,33,95,38,183.4,183.4,183.4,183.4,100,AAPL
2023-11-10 14:18:00+00:00,33,95,38,183.4,183.4,183.4,183.4,150,AAPL
2023-11-10 14:19:00+00:00,33,95,38,183.37,183.37,183.29,183.35,137,AAPL
2023-11-10 14:20:00+00:00,33,95,38,183.36,183.37,183.35,183.35,119,AAPL
2023-11-10 14:21:00+00:00,33,95,38,183.37,183.41,183.37,183.37,3,AAPL
2023-11-10 14:23:00+00:00,33,95,38,183.41,183.41,183.38,183.38,51,AAPL
2023-11-10 14:25:00+00:00,33,95,38,183.35,183.35,183.35,183.35,300,AAPL
2023-11-10 14:27:00+00:00,33,95,38,183.44,183.75,183.44,183.75,958,AAPL
2023-11-10 14:28:00+00:00,33,95,38,183.88,183.92,183.88,183.91,280,AAPL
2023-11-10 14:29:00+00:00,33,95,38,183.86,183.91,183.83,183.89,664,AAPL
2023-11-10 14:30:00+00:00,33,95,38,183.91,184.04,183.68,183.76,72399,AAPL
2023-11-10 14:31:00+00:00,33,95,38,183.78,184.19,183.76,184.15,37716,AAPL
2023-11-10 14:32:00+00:00,33,95,38,184.15,184.24,184.02,184.03,39430,AAPL
